"","name","catalog_specimen_count","prepared_specimen_count"
"1","Emil Bautista O.",1762,1810
"2","Donna C. Schmitt",367,366
"3","C. Jonathan Schmitt",340,300
"4","Dora Susanibar C.",329,320
"5","Andrew B. Johnson",319,209
"6","Phred M. Benham",258,264
"7","Elizabeth J. Beckman",252,186
"8","Jano Alex Nunez Zapata",210,157
"9","Ashley Smiley",185,149
"10","Natalie A. Wright",181,205
"11","Christopher C. Witt",163,47
"12","Shane G. DuBay",129,157
"13","C. Gregory Schmitt",96,90
"14","Matthew R. Jones",96,119
"15","DCS",83,84
"16","Jorge Tiravanti C.",71,71
"17","L. Monica Flores",69,69
"18","Jennifer A. Clark",67,63
"19","Jessica A. Castillo",66,61
"20","NAW",64,40
"21","Spencer C. Galen",58,55
"22","Zachary R. Hanna",57,57
"23","Michael J. Lelevier",56,56
"24","SGD",56,25
"25","Christopher P. Barger",54,8
"26","MRJ",54,31
"27","Karen Verde Guerra",46,46
"28","PMB",39,30
"29","William A. Talbot",38,38
"30","Alessandra Quinonez",37,37
"31","Iris Olivas",35,35
"32","Jose Ernesto Huaroto Tornero",28,28
"33","Robert J. Driver",28,28
"34","Daniel F. Lane",22,22
"35","Paloma Ordonez Buezo de Manzanedo",22,16
"36","Sabrina M. McNew",22,21
"37","Homan Castillo Benitez ",20,19
"38","Luis Alza",19,18
"39","Shane G. Dubay",16,16
"40","LA",14,15
"41","JTC",13,13
"42","Mariela Combe",13,13
"43","Jimmy A. McGuire",11,7
"44","C. Johnathan Schmitt",8,8
"45","Matthias Marzfeld",8,8
"46","",7,403
"47","HCB",6,7
"48","Maria Jose Fernandez",4,2
"49","Rainer de la Cruz Gonzales",2,2
"50","Andrea Repetto P.",1,1
"51","Cesar Visag Valencia",1,1
"52","Chauncey R. Gadek",1,1
